year,age,male,female
1991,0,67.91,76.41
1991,1,67.75,76.23
1991,2,66.86,75.35
1991,3,65.92,74.41
1991,4,64.97,73.45
1991,5,64.02,72.49
1991,6,63.07,71.54
1991,7,62.11,70.57
1991,8,61.15,69.6
1991,9,60.19,68.63
1991,10,59.22,67.66
1991,11,58.24,66.68
1991,12,57.27,65.7
1991,13,56.3,64.72
1991,14,55.33,63.75
1991,15,54.36,62.77
1991,16,53.41,61.8
1991,17,52.47,60.83
1991,18,51.53,59.86
1991,19,50.6,58.89
1991,20,49.67,57.92
1991,21,48.74,56.96
1991,22,47.81,56
1991,23,46.87,55.03
1991,24,45.94,54.07
1991,25,45.01,53.11
1991,26,44.08,52.15
1991,27,43.15,51.18
1991,28,42.23,50.22
1991,29,41.31,49.26
1991,30,40.39,48.3
1991,31,39.47,47.34
1991,32,38.56,46.39
1991,33,37.65,45.43
1991,34,36.74,44.48
1991,35,35.84,43.52
1991,36,34.94,42.57
1991,37,34.06,41.62
1991,38,33.17,40.67
1991,39,32.3,39.73
1991,40,31.43,38.78
1991,41,30.56,37.84
1991,42,29.71,36.9
1991,43,28.86,35.97
1991,44,28.02,35.04
1991,45,27.19,34.12
1991,46,26.38,33.21
1991,47,25.58,32.3
1991,48,24.79,31.4
1991,49,24.01,30.51
1991,50,23.24,29.62
1991,51,22.48,28.74
1991,52,21.73,27.86
1991,53,20.99,26.98
1991,54,20.25,26.11
1991,55,19.52,25.24
1991,56,18.79,24.38
1991,57,18.07,23.52
1991,58,17.36,22.67
1991,59,16.66,21.83
1991,60,15.97,20.99
1991,61,15.3,20.17
1991,62,14.65,19.36
1991,63,14.01,18.56
1991,64,13.38,17.77
1991,65,12.78,16.99
1991,66,12.18,16.23
1991,67,11.6,15.48
1991,68,11.04,14.75
1991,69,10.5,14.04
1991,70,9.98,13.35
1991,71,9.49,12.68
1991,72,9.02,12.04
1991,73,8.57,11.42
1991,74,8.13,10.82
1991,75,7.7,10.25
1991,76,7.27,9.69
1991,77,6.86,9.16
1991,78,6.47,8.65
1991,79,6.09,8.16
1991,80,5.73,7.69
1991,81,5.4,7.24
1991,82,5.09,6.82
1991,83,4.8,6.42
1991,84,4.53,6.04
1991,85,4.27,5.68
1991,86,4.02,5.34
1991,87,3.79,5.02
1991,88,3.57,4.71
1991,89,3.36,4.42
1991,90,3.16,4.15
1991,91,2.98,3.89
1991,92,2.8,3.65
1991,93,2.64,3.43
1991,94,2.48,3.21
1991,95,2.33,3.02
1991,96,2.19,2.83
1991,97,2.06,2.65
1991,98,1.94,2.49
1991,99,1.83,2.33
1991,100,1.72,2.19
1992,0,68.4,76.82
1992,1,68.18,76.58
1992,2,67.28,75.68
1992,3,66.34,74.74
1992,4,65.39,73.78
1992,5,64.43,72.82
1992,6,63.48,71.86
1992,7,62.52,70.89
1992,8,61.56,69.92
1992,9,60.59,68.95
1992,10,59.62,67.97
1992,11,58.64,66.99
1992,12,57.66,66.01
1992,13,56.69,65.03
1992,14,55.72,64.05
1992,15,54.75,63.07
1992,16,53.79,62.1
1992,17,52.85,61.13
1992,18,51.91,60.16
1992,19,50.98,59.19
1992,20,50.06,58.22
1992,21,49.12,57.25
1992,22,48.19,56.29
1992,23,47.25,55.32
1992,24,46.31,54.35
1992,25,45.37,53.39
1992,26,44.44,52.42
1992,27,43.51,51.46
1992,28,42.58,50.5
1992,29,41.66,49.53
1992,30,40.74,48.57
1992,31,39.82,47.61
1992,32,38.9,46.65
1992,33,37.99,45.69
1992,34,37.07,44.74
1992,35,36.17,43.78
1992,36,35.27,42.83
1992,37,34.37,41.87
1992,38,33.48,40.92
1992,39,32.6,39.98
1992,40,31.73,39.03
1992,41,30.86,38.09
1992,42,30,37.15
1992,43,29.15,36.21
1992,44,28.31,35.28
1992,45,27.48,34.35
1992,46,26.66,33.43
1992,47,25.85,32.52
1992,48,25.04,31.61
1992,49,24.25,30.71
1992,50,23.47,29.81
1992,51,22.69,28.92
1992,52,21.93,28.03
1992,53,21.18,27.15
1992,54,20.43,26.27
1992,55,19.69,25.39
1992,56,18.96,24.52
1992,57,18.24,23.66
1992,58,17.53,22.8
1992,59,16.83,21.95
1992,60,16.15,21.11
1992,61,15.48,20.29
1992,62,14.82,19.47
1992,63,14.18,18.66
1992,64,13.55,17.87
1992,65,12.94,17.09
1992,66,12.34,16.32
1992,67,11.76,15.57
1992,68,11.2,14.83
1992,69,10.65,14.12
1992,70,10.13,13.42
1992,71,9.63,12.74
1992,72,9.14,12.09
1992,73,8.68,11.45
1992,74,8.23,10.84
1992,75,7.79,10.25
1992,76,7.36,9.68
1992,77,6.95,9.13
1992,78,6.56,8.61
1992,79,6.19,8.11
1992,80,5.83,7.63
1992,81,5.5,7.18
1992,82,5.19,6.75
1992,83,4.9,6.34
1992,84,4.63,5.96
1992,85,4.36,5.6
1992,86,4.11,5.25
1992,87,3.87,4.93
1992,88,3.65,4.62
1992,89,3.44,4.33
1992,90,3.24,4.06
1992,91,3.05,3.81
1992,92,2.87,3.57
1992,93,2.7,3.35
1992,94,2.54,3.14
1992,95,2.39,2.94
1992,96,2.25,2.76
1992,97,2.11,2.59
1992,98,1.99,2.43
1992,99,1.87,2.28
1992,100,1.76,2.14
1993,0,68.88,77.33
1993,1,68.59,77.04
1993,2,67.69,76.14
1993,3,66.73,75.19
1993,4,65.78,74.23
1993,5,64.82,73.27
1993,6,63.87,72.3
1993,7,62.91,71.33
1993,8,61.94,70.36
1993,9,60.97,69.38
1993,10,60,68.41
1993,11,59.02,67.42
1993,12,58.04,66.44
1993,13,57.06,65.46
1993,14,56.09,64.48
1993,15,55.12,63.5
1993,16,54.16,62.52
1993,17,53.22,61.55
1993,18,52.28,60.58
1993,19,51.35,59.61
1993,20,50.42,58.64
1993,21,49.49,57.67
1993,22,48.55,56.7
1993,23,47.61,55.73
1993,24,46.67,54.77
1993,25,45.73,53.8
1993,26,44.79,52.83
1993,27,43.86,51.86
1993,28,42.93,50.9
1993,29,42,49.93
1993,30,41.07,48.97
1993,31,40.15,48.01
1993,32,39.23,47.04
1993,33,38.31,46.08
1993,34,37.39,45.12
1993,35,36.48,44.17
1993,36,35.58,43.21
1993,37,34.68,42.26
1993,38,33.78,41.3
1993,39,32.9,40.35
1993,40,32.02,39.41
1993,41,31.15,38.46
1993,42,30.29,37.52
1993,43,29.44,36.58
1993,44,28.59,35.64
1993,45,27.75,34.71
1993,46,26.92,33.79
1993,47,26.1,32.87
1993,48,25.28,31.96
1993,49,24.48,31.05
1993,50,23.68,30.14
