year,quarter,rural_male,rural_female,city_daily
1990,1,15959,11263,
1990,2,17538,12427,
1990,3,19184,13691,
1990,4,21571,15513,
1991,1,22509,16074,21094
1991,2,23609,16769,21094
1991,3,25427,17868,22276
1991,4,26231,18036,22276
1992,1,27283,18672,22359
1992,2,28821,19850,22359
1992,3,29410,20427,23171
1992,4,29519,20732,23171
1993,1,29675,20781,23453
1993,2,30295,21203,23453
1993,3,30612,21494,24423
1993,4,30815,21590,24423
1994,1,30899,21641,25152
1994,2,31106,21923,25152
1994,3,31398,22141,27218
1994,4,31850,22459,27218
1995,1,32502,23055,
1995,2,33065,23592,
1995,3,33556,24113,29933
1995,4,33824,24404,29933
1996,1,34795,25255,31866
1996,2,35713,26130,31866
1996,3,36688,27008,34005
1996,4,37425,27001,34005
1997,1,37738,27222,34947
1997,2,38460,27636,34947
1997,3,39034,28012,35932
1997,4,39494,28113,35932
1998,1,38793,27236,37736
1998,2,37085,25448,37736
1998,3,36318,25381,34098
1998,4,36350,25474,34098
1999,1,36971,25802,33755
1999,2,40736,28804,33755
1999,3,42548,30204,33323
1999,4,46193,32118,33323
2000,1,47011,31891,34360
2000,2,47990,32168,34360
2000,3,48518,32526,37052
2000,4,48639,32584,37052
2001,1,50469,33679,37483
2001,2,51048,34214,37483
2001,3,51482,35195,38932
2001,4,50620,33647,38932
2002,1,51373,33655,40922
2002,2,52828,34998,40922
2002,3,53669,35151,45031
2002,4,54502,35552,45031
2003,1,54874,36569,50683
2003,2,58271,38777,50683
2003,3,57842,38626,52483
2003,4,57380,38025,52483
2004,1,55989,36923,52374
2004,2,57449,37710,52374
2004,3,57879,38721,52565
2004,4,58550,39901,52565
2005,1,58322,39777,52585
2005,2,59243,40465,52585
2005,3,58938,40090,53090
2005,4,59316,39839,53090
2006,1,59441,39829,55252
2006,2,59957,40180,55252
2006,3,60328,40322,56822
2006,4,60274,40360,56822
2007,1,60414,40319,57820
2007,2,61432,41342,57820
2007,3,61988,41087,58883
2007,4,61722,41119,58883
2008,1,63855,42320,60547
2008,2,68579,44328,60547
2008,3,70454,45889,63530
2008,4,70734,46151,63530
2009,1,71360,46371,66622
2009,2,71933,47232,66622
2009,3,72573,47671,67909
2009,4,72875,46854,67909
2010,1,73976,47388,68965
2010,2,75442,48882,68965
2010,3,77149,50127,70497
2010,4,78122,50662,70497
2011,1,78227,50762,72415
2011,2,80109,52487,72415
2011,3,81842,53982,74008
2011,4,82666,54777,74008
2012,1,82908,54783,75608
2012,2,85426,56430,75608
2012,3,86606,57431,80732
2012,4,86989,57433,80732
2013,1,88831,57997,81443
2013,2,91954,60671,81443
2013,3,93375,61863,83975
2013,4,93507,61915,83975
2014,1,94210,61997,84166
2014,2,96894,64604,84166
2014,3,97730,64492,86686
2014,4,98272,65304,86686
2015,1,99252,65688,87805
2015,2,101700,67546,87805
2015,3,102224,67577,89566
2015,4,102425,67537,89566
2016,1,103116,68115,94338
2016,2,105431,69940,94338
2016,3,106204,70319,99882
2016,4,107288,71120,99882
2017,1,107415,70857,102628
2017,2,110051,72921,102628
2017,3,111079,73663,106846
2017,4,112018,74597,106846
2018,1,112145,75048,109819
2018,2,114048,77563,109819
2018,3,114993,78667,118130
2018,4,115573,79466,118130
2019,1,116126,79719,125427
2019,2,117536,81316,125427
2019,3,117599,82385,130264
2019,4,117364,82640,130264
2020,1,116650,82637,138290
2020,2,118977,84715,138290
2020,3,120193,85577,138989
2020,4,122379,88272,138989
2021,1,122431,87803,141096
2021,2,126282,93134,141096
2021,3,129150,96144,144481
2021,4,130997,98223,144481
2022,1,131584,98493,148510
2022,2,139324,106777,148510
2022,3,143351,111232,153671
2022,4,144321,112560,153671
2023,1,146019,113301,157068
2023,2,148452,116173,157068
2023,3,148670,116842,161858
2023,4,149538,117246,161858
2024,1,150251,117382,165545
2024,2,152475,119492,165545
2024,3,152252,119817,167081
2024,4,152335,120508,167081
2025,1,152735,119361,169804
2025,2,153617,121412,169804
2025,3,153531,121914,171037
2025,4,154198,122880,171037
2026,1,153783,122176,172068
2026,2,156099,124927,172068
